audio_path,text
converted_yamamoto/iryou_yamamoto_200.wav,アルツハイマー病で海馬の萎縮をMRIで確認。MMSEは18点。
converted_yamamoto/iryou_yamamoto_269.wav,高齢者における転倒予防プログラムとしてバランス訓練と筋力強化を導入。
converted_yamamoto/iryou_yamamoto_169.wav,パーキンソン病患者においてL-dopa投与後にジスキネジアを認めた。
converted_yamamoto/iryou_yamamoto_315.wav,小児に発疹と発熱を認め、PCR検査にて麻疹ウイルス陽性。
converted_yamamoto/iryou_yamamoto_195.wav,小児に発疹と発熱を認め、PCR検査にて麻疹ウイルス陽性。
converted_yamamoto/iryou_yamamoto_373.wav,乳児において哺乳力低下とチアノーゼを認め、心エコーでファロー四徴症を疑う。
converted_yamamoto/iryou_yamamoto_365.wav,頭部CTでは右被殻に高吸収域を認め、脳出血と診断。
converted_yamamoto/iryou_yamamoto_362.wav,HbA1c 8.2%、空腹時血糖値170 mg/dL。インスリン抵抗性を伴う2型糖尿病と考えられる。
converted_yamamoto/iryou_yamamoto_285.wav,小児に発疹と発熱を認め、PCR検査にて麻疹ウイルス陽性。
converted_yamamoto/iryou_yamamoto_411.wav,統合失調症患者に幻聴を認め、リスペリドン内服を開始。
converted_yamamoto/iryou_yamamoto_190.wav,交通外傷で搬送。GCS 8、呼吸数30/分、血圧70/40 mmHg。ショック状態であり挿管管理を実施。
converted_yamamoto/iryou_yamamoto_352.wav,本研究は高血圧患者500例を対象にARBとACE阻害薬の降圧効果を比較した。
converted_yamamoto/iryou_yamamoto_253.wav,乳児において哺乳力低下とチアノーゼを認め、心エコーでファロー四徴症を疑う。
converted_yamamoto/iryou_yamamoto_292.wav,本研究は高血圧患者500例を対象にARBとACE阻害薬の降圧効果を比較した。
converted_yamamoto/iryou_yamamoto_432.wav,敗血症性ショックに対しノルアドレナリン持続投与を行い、バンド形成を伴う白血球増多を認めた。
converted_yamamoto/iryou_yamamoto_268.wav,脳梗塞後リハビリテーションにてFIMスコアの改善を認めた。
converted_yamamoto/iryou_yamamoto_241.wav,患者は労作時呼吸困難を主訴に受診。BNP高値、胸部X線にて心拡大を認め、うっ血性心不全と診断。
converted_yamamoto/iryou_yamamoto_360.wav,ワクチン接種による免疫獲得率をELISA法で評価。
converted_yamamoto/iryou_yamamoto_273.wav,尿検査で蛋白尿（3+）、沈渣に赤血球円柱を認め、ネフローゼ症候群を疑う。
converted_yamamoto/iryou_yamamoto_202.wav,本研究は高血圧患者500例を対象にARBとACE阻害薬の降圧効果を比較した。
converted_yamamoto/iryou_yamamoto_65.wav,頭部CTでは右被殻に高吸収域を認め、脳出血と診断。
converted_yamamoto/iryou_yamamoto_249.wav,整形外科領域：右大腿骨頸部骨折に対し人工骨頭置換術を施行。
converted_yamamoto/iryou_yamamoto_298.wav,脳梗塞後リハビリテーションにてFIMスコアの改善を認めた。
converted_yamamoto/iryou_yamamoto_355.wav,インフルエンザ迅速抗原検査陽性、オセルタミビル内服を開始。
