audio_path,text
clips/ex_000005.wav,みなさん、こんにちは。
clips/ex_000012.wav,体操や国際大会のお話をお聞きしたいと思います。
clips/ex_000011.wav,体育科教員のかきたにまりこ先生から
clips/ex_000015.wav,体操部顧問のかきたにまり子です。よろしくお願いします。
clips/ex_000009.wav,いちあま 女子体操きょうぎ部の
clips/ex_000025.wav,韓国で開催されたアジア大会のような国際大会はやはり独特の雰囲気というものはありますか
clips/ex_000029.wav,国際大会では
clips/ex_000021.wav,いろいろ自分的にも成長できて
clips/ex_000016.wav,8月のインターハイ、9月のアジア大会と引き続き
clips/ex_000027.wav,天井の高さとかもすごく高くて違いましたね。
clips/ex_000001.wav,あまがさき市長のいなむらです。
clips/ex_000013.wav,ほんださん、かきたに先生、よろしくお願いします。
clips/ex_000018.wav,そこでは、団体5位という成績をおさめるなど、この月の活躍は素晴らしいと思いました。
clips/ex_000002.wav,今回は秋の特別企画として。
clips/ex_000017.wav,つい先日まで、本田さんもこくたいに参加していました。
clips/ex_000028.wav,かきたに先生もナショナルチームの一員として国際大会に参加していましたがどうでしたか
clips/ex_000004.wav,それでは、いちりつ あまがさき高校放送部の皆さん、よろしくお願いします。
clips/ex_000024.wav,ほんださん
clips/ex_000007.wav,今日はここ、FM あまがさきのスタジオにおじゃましています。
clips/ex_000008.wav,ここで今日は
clips/ex_000023.wav,すごい成長できたとしだなと思います。
clips/ex_000000.wav,みなさん、こんにちは。
clips/ex_000003.wav,いちりつ あまがさき高校放送部による番組をお届けします。
clips/ex_000020.wav,今年は今までよりも、すごく大きい大会にも出させてもらって
