audio_path,text
converted_fujii/iryou_fujii_231.wav,統合失調症患者に幻聴を認め、リスペリドン内服を開始。
converted_fujii/iryou_fujii_363.wav,尿検査で蛋白尿（3+）、沈渣に赤血球円柱を認め、ネフローゼ症候群を疑う。
converted_fujii/iryou_fujii_238.wav,脳梗塞後リハビリテーションにてFIMスコアの改善を認めた。
converted_fujii/iryou_fujii_354.wav,Cox比例ハザードモデルではBMI高値と喫煙歴が独立した予後規定因子であった。
converted_fujii/iryou_fujii_86.wav,血液培養でMRSAを検出、バンコマイシン投与を行った。
converted_fujii/iryou_fujii_324.wav,Cox比例ハザードモデルではBMI高値と喫煙歴が独立した予後規定因子であった。
converted_fujii/iryou_fujii_172.wav,本研究は高血圧患者500例を対象にARBとACE阻害薬の降圧効果を比較した。
converted_fujii/iryou_fujii_394.wav,胸部CTにて両側肺底部にすりガラス陰影を認め、間質性肺炎の所見。
converted_fujii/iryou_fujii_154.wav,胸部CTにて両側肺底部にすりガラス陰影を認め、間質性肺炎の所見。
converted_fujii/iryou_fujii_314.wav,妊娠32週、羊水量減少と胎児発育遅延を認め、切迫早産のリスクあり。
converted_fujii/iryou_fujii_39.wav,整形外科領域：右大腿骨頸部骨折に対し人工骨頭置換術を施行。
converted_fujii/iryou_fujii_393.wav,尿検査で蛋白尿（3+）、沈渣に赤血球円柱を認め、ネフローゼ症候群を疑う。
converted_fujii/iryou_fujii_70.wav,交通外傷で搬送。GCS 8、呼吸数30/分、血圧70/40 mmHg。ショック状態であり挿管管理を実施。
converted_fujii/iryou_fujii_107.wav,乳腺腫瘤の針生検にて浸潤性乳管癌と診断、ER陽性、HER2陰性。
converted_fujii/iryou_fujii_349.wav,パーキンソン病患者においてL-dopa投与後にジスキネジアを認めた。
converted_fujii/iryou_fujii_490.wav,交通外傷で搬送。GCS 8、呼吸数30/分、血圧70/40 mmHg。ショック状態であり挿管管理を実施。
converted_fujii/iryou_fujii_429.wav,整形外科領域：右大腿骨頸部骨折に対し人工骨頭置換術を施行。
converted_fujii/iryou_fujii_159.wav,整形外科領域：右大腿骨頸部骨折に対し人工骨頭置換術を施行。
converted_fujii/iryou_fujii_32.wav,HbA1c 8.2%、空腹時血糖値170 mg/dL。インスリン抵抗性を伴う2型糖尿病と考えられる。
converted_fujii/iryou_fujii_245.wav,頭部CTでは右被殻に高吸収域を認め、脳出血と診断。
converted_fujii/iryou_fujii_9.wav,整形外科領域：右大腿骨頸部骨折に対し人工骨頭置換術を施行。
converted_fujii/iryou_fujii_268.wav,脳梗塞後リハビリテーションにてFIMスコアの改善を認めた。
converted_fujii/iryou_fujii_486.wav,心臓エコーで大動脈弁逆流を示唆する逆流ジェットを確認。
converted_fujii/iryou_fujii_234.wav,Cox比例ハザードモデルではBMI高値と喫煙歴が独立した予後規定因子であった。
converted_fujii/iryou_fujii_262.wav,本研究は高血圧患者500例を対象にARBとACE阻害薬の降圧効果を比較した。
converted_fujii/iryou_fujii_402.wav,敗血症性ショックに対しノルアドレナリン持続投与を行い、バンド形成を伴う白血球増多を認めた。
converted_fujii/iryou_fujii_292.wav,本研究は高血圧患者500例を対象にARBとACE阻害薬の降圧効果を比較した。
converted_fujii/iryou_fujii_199.wav,パーキンソン病患者においてL-dopa投与後にジスキネジアを認めた。
converted_fujii/iryou_fujii_133.wav,乳児において哺乳力低下とチアノーゼを認め、心エコーでファロー四徴症を疑う。
converted_fujii/iryou_fujii_325.wav,インフルエンザ迅速抗原検査陽性、オセルタミビル内服を開始。
converted_fujii/iryou_fujii_323.wav,Kaplan-Meier解析において免疫チェックポイント阻害薬投与群は有意に無増悪生存期間が延長した。
converted_fujii/iryou_fujii_3.wav,尿検査で蛋白尿（3+）、沈渣に赤血球円柱を認め、ネフローゼ症候群を疑う。
converted_fujii/iryou_fujii_19.wav,パーキンソン病患者においてL-dopa投与後にジスキネジアを認めた。
converted_fujii/iryou_fujii_489.wav,整形外科領域：右大腿骨頸部骨折に対し人工骨頭置換術を施行。
converted_fujii/iryou_fujii_264.wav,Cox比例ハザードモデルではBMI高値と喫煙歴が独立した予後規定因子であった。
converted_fujii/iryou_fujii_77.wav,乳腺腫瘤の針生検にて浸潤性乳管癌と診断、ER陽性、HER2陰性。
converted_fujii/iryou_fujii_254.wav,妊娠32週、羊水量減少と胎児発育遅延を認め、切迫早産のリスクあり。
converted_fujii/iryou_fujii_315.wav,小児に発疹と発熱を認め、PCR検査にて麻疹ウイルス陽性。
converted_fujii/iryou_fujii_352.wav,本研究は高血圧患者500例を対象にARBとACE阻害薬の降圧効果を比較した。
converted_fujii/iryou_fujii_472.wav,本研究は高血圧患者500例を対象にARBとACE阻害薬の降圧効果を比較した。
converted_fujii/iryou_fujii_144.wav,Cox比例ハザードモデルではBMI高値と喫煙歴が独立した予後規定因子であった。
converted_fujii/iryou_fujii_450.wav,ワクチン接種による免疫獲得率をELISA法で評価。
converted_fujii/iryou_fujii_67.wav,虫垂炎に対し腹腔鏡下虫垂切除術を施行、術後経過良好。
converted_fujii/iryou_fujii_180.wav,ワクチン接種による免疫獲得率をELISA法で評価。
converted_fujii/iryou_fujii_134.wav,妊娠32週、羊水量減少と胎児発育遅延を認め、切迫早産のリスクあり。
converted_fujii/iryou_fujii_145.wav,インフルエンザ迅速抗原検査陽性、オセルタミビル内服を開始。
converted_fujii/iryou_fujii_407.wav,乳腺腫瘤の針生検にて浸潤性乳管癌と診断、ER陽性、HER2陰性。
converted_fujii/iryou_fujii_281.wav,高カリウム血症に対しカルシウム製剤、グルコース・インスリン療法を開始。
converted_fujii/iryou_fujii_270.wav,ワクチン接種による免疫獲得率をELISA法で評価。
converted_fujii/iryou_fujii_467.wav,乳腺腫瘤の針生検にて浸潤性乳管癌と診断、ER陽性、HER2陰性。
converted_fujii/iryou_fujii_209.wav,高齢者における転倒予防プログラムとしてバランス訓練と筋力強化を導入。
converted_fujii/iryou_fujii_146.wav,血液培養でMRSAを検出、バンコマイシン投与を行った。
converted_fujii/iryou_fujii_433.wav,乳児において哺乳力低下とチアノーゼを認め、心エコーでファロー四徴症を疑う。
converted_fujii/iryou_fujii_278.wav,大腸癌に対する低位前方切除術後、第5病日に縫合不全を疑う発熱と白血球増多を認めた。
converted_fujii/iryou_fujii_342.wav,敗血症性ショックに対しノルアドレナリン持続投与を行い、バンド形成を伴う白血球増多を認めた。
converted_fujii/iryou_fujii_466.wav,肝細胞癌に対しラジオ波焼灼療法を施行、AFP値は低下傾向。
converted_fujii/iryou_fujii_318.wav,前立腺生検にてGleason score 7（3+4）の腺癌を認めた。
converted_fujii/iryou_fujii_18.wav,前立腺生検にてGleason score 7（3+4）の腺癌を認めた。
converted_fujii/iryou_fujii_449.wav,高齢者における転倒予防プログラムとしてバランス訓練と筋力強化を導入。
converted_fujii/iryou_fujii_21.wav,統合失調症患者に幻聴を認め、リスペリドン内服を開始。
converted_fujii/iryou_fujii_131.wav,高カリウム血症に対しカルシウム製剤、グルコース・インスリン療法を開始。
converted_fujii/iryou_fujii_239.wav,高齢者における転倒予防プログラムとしてバランス訓練と筋力強化を導入。
converted_fujii/iryou_fujii_297.wav,HIV感染症に対し3剤併用療法を導入、CD4陽性T細胞数の増加を確認。
converted_fujii/iryou_fujii_287.wav,乳腺腫瘤の針生検にて浸潤性乳管癌と診断、ER陽性、HER2陰性。
converted_fujii/iryou_fujii_337.wav,虫垂炎に対し腹腔鏡下虫垂切除術を施行、術後経過良好。
converted_fujii/iryou_fujii_301.wav,患者は労作時呼吸困難を主訴に受診。BNP高値、胸部X線にて心拡大を認め、うっ血性心不全と診断。
converted_fujii/iryou_fujii_150.wav,ワクチン接種による免疫獲得率をELISA法で評価。
converted_fujii/iryou_fujii_204.wav,Cox比例ハザードモデルではBMI高値と喫煙歴が独立した予後規定因子であった。
converted_fujii/iryou_fujii_388.wav,脳梗塞後リハビリテーションにてFIMスコアの改善を認めた。
converted_fujii/iryou_fujii_399.wav,整形外科領域：右大腿骨頸部骨折に対し人工骨頭置換術を施行。
converted_fujii/iryou_fujii_191.wav,高カリウム血症に対しカルシウム製剤、グルコース・インスリン療法を開始。
converted_fujii/iryou_fujii_202.wav,本研究は高血圧患者500例を対象にARBとACE阻害薬の降圧効果を比較した。
converted_fujii/iryou_fujii_419.wav,高齢者における転倒予防プログラムとしてバランス訓練と筋力強化を導入。
converted_fujii/iryou_fujii_15.wav,小児に発疹と発熱を認め、PCR検査にて麻疹ウイルス陽性。
converted_fujii/iryou_fujii_56.wav,血液培養でMRSAを検出、バンコマイシン投与を行った。
converted_fujii/iryou_fujii_76.wav,肝細胞癌に対しラジオ波焼灼療法を施行、AFP値は低下傾向。
converted_fujii/iryou_fujii_285.wav,小児に発疹と発熱を認め、PCR検査にて麻疹ウイルス陽性。
converted_fujii/iryou_fujii_40.wav,交通外傷で搬送。GCS 8、呼吸数30/分、血圧70/40 mmHg。ショック状態であり挿管管理を実施。
converted_fujii/iryou_fujii_392.wav,HbA1c 8.2%、空腹時血糖値170 mg/dL。インスリン抵抗性を伴う2型糖尿病と考えられる。
converted_fujii/iryou_fujii_461.wav,高カリウム血症に対しカルシウム製剤、グルコース・インスリン療法を開始。
converted_fujii/iryou_fujii_258.wav,前立腺生検にてGleason score 7（3+4）の腺癌を認めた。
converted_fujii/iryou_fujii_179.wav,高齢者における転倒予防プログラムとしてバランス訓練と筋力強化を導入。
converted_fujii/iryou_fujii_213.wav,尿検査で蛋白尿（3+）、沈渣に赤血球円柱を認め、ネフローゼ症候群を疑う。
converted_fujii/iryou_fujii_473.wav,Kaplan-Meier解析において免疫チェックポイント阻害薬投与群は有意に無増悪生存期間が延長した。
converted_fujii/iryou_fujii_421.wav,患者は労作時呼吸困難を主訴に受診。BNP高値、胸部X線にて心拡大を認め、うっ血性心不全と診断。
